Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
The Devil's Advocate,1997,144,Keanu Reeves,Al Pacino,Charlize Theron,Jeffrey Jones,Taylor Hackford,Drama, Fantasy, Mystery,7.5,63.0,2023-07-04
Gone Baby Gone,2007,114,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,Ben Affleck,Crime, Drama, Mystery,7.6,94.0,2023-07-04
Million Dollar Baby,2004,132,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Clint Eastwood,Drama, Sport,Unknown,8.1,91.0,2023-07-04
Unforgiven,1992,130,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,Clint Eastwood,Drama, Western,Unknown,8.2,96.0,2023-07-04
Glory,1989,122,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,Edward Zwick,Biography, Drama, History,7.8,93.0,2023-07-04
White Chicks,2004,109,Marlon Wayans,Shawn Mayans,Busy Phillips,Unknown,Keenen Ivory Wayans,Comedy, Crime,Unknown,5.9,15.0,2023-07-06
The Break-Up,2006,106,Jennifer Aniston,Vince Vaughn,Jon Favreau,Unknown,Peyton Reed,Comedy, Drama, Romance,5.8,34.0,2023-07-06
The Patriot,2000,165,Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,Roland Emmerich,Action, Drama, History,7.2,61.0,2023-07-06
Starsky & Hutch,2004,101,Ben Stiller,Owen Wilson,Snoop Dogg,Unknown,Todd Phillips,Comedy, Crime,Unknown,6.1,62.0,2023-07-07
Bottle Rocket,1996,91,Luke Wilson,Owen Wilson,Ned Dowd,Unknown,Wes Anderson,Comedy, Crime, Drama,6.9,85.0,2023-07-07
He Got Game,1998,136,Denzel Washington,Milla Jovovich,Ray Allen,Unknown,Spike Lee,Drama, Sport,Unknown,6.9,81.0,2023-07-08
Ava,2020,96,Jessica Chastain,John Malkovich,Common,Unknown,Tate Taylor,Action, Crime, Drama,5.5,69.63468634686348,2023-07-08
The Man with the Golden Gun,1974,125,Roger Moore,Christopher Lee,Britt Ekland,Unknown,Guy Hamilton,Action, Adventure, Thriller,6.7,41.0,2023-07-09
Never Say Never Again,1983,134,Sean Connery,Kim Basinger,Klaus Maria Brandauer,Unknown,Irvin Kershner,Action, Adventure, Thriller,6.1,67.0,2023-07-09
Over the Top,1987,93,Sylvester Stallone,Robert Loggia,Susan Blakely,Unknown,Menahem Golan,Action, Drama, Sport,5.8,30.0,2023-07-10
The Killing,1956,84,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,Stanley Kubrick,Crime, Drama, Film-Noir,7.9,98.0,2023-07-10
Locke,2013,85,Tom Hardy,Olivia Colman,Ruth Wilson,Unknown,Steven Knight,Drama,Unknown,Unknown,7.1,91.0,2023-07-10
North by Northwest,1959,136,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Alfred Hitchcock,Adventure, Drama, Mystery,8.3,99.0,2023-07-10
The Elephant Man,1980,124,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,David Lynch,Biography, Drama,Unknown,8.2,92.0,2023-07-10
The Northman,2022,137,Alexander Skarsgard,Nicole Kidman,Claes Bang,Unknown,Robert Eggers,Action, Adventure, Drama,7.0,69.63468634686348,2023-07-10
Nightcrawler,2014,117,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,Dan Gilroy,Crime, Drama, Thriller,7.8,95.0,2023-07-10
Demolition,2015,101,Jake Gyllenhaal,Naomi Watts,Chris Cooper,Unknown,Jean-Marc Vallée,Comedy, Drama,Unknown,7.0,53.0,2023-07-10
Nightmare Alley,2021,150,Joan Blondell,Joan Blondell,Coleen Gray,Helen Walker,Guillermo del Toro,Crime, Drama, Thriller,7.0,100.0,2023-07-10
This Is England,2006,101,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim,Shane Meadows,Crime, Drama,Unknown,7.7,92.0,2023-07-10
Drive,2011,100,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Nicolas Winding Refn,Action, Drama,Unknown,7.8,92.0,2023-07-10
Arrival,2016,116,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,Denis Villeneuve,Drama, Mystery, Sci-Fi,7.9,94.0,2023-07-10
Barry Lyndon,1975,185,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Stanley Kubrick,Adventure, Drama, War,8.1,91.0,2023-07-10
Eternal Sunshine of the Spotless Mind,2004,108,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,Michel Gondry,Drama, Romance, Sci-Fi,8.3,93.0,2023-07-10
The Machinist,2004,101,Christian Bale,Jennifer Jason Leigh,Aitana Sanchez-Gijon,Unknown,Brad Anderson,Drama, Thriller,Unknown,7.6,77.0,2023-07-10
The King of Comedy,1982,109,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,Martin Scorsese,Comedy, Crime, Drama,7.8,89.0,2023-07-10
The Conversation,1974,113,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,Francis Ford Coppola,Drama, Mystery, Thriller,7.7,96.0,2023-07-10
Monty Python and the Holy Grail,1975,91,Terry Jones,Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Adventure, Comedy, Fantasy,8.2,97.0,2023-07-10
Life of Brian,1979,94,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Terry Jones,Comedy,Unknown,Unknown,8.0,69.63468634686348,2023-07-10
The Game,1997,129,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,David Fincher,Drama, Mystery, Thriller,7.7,74.0,2023-07-10
Gone Girl,2014,149,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,David Fincher,Drama, Mystery, Thriller,8.1,87.0,2023-07-10
Mulholland Drive,2001,147,Naomi Watts,Laura Harring,Justin Theroux,Unknown,David Lynch,Drama, Mystery, Thriller,7.9,83.0,2023-07-10
Paths of Glory,1957,88,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Stanley Kubrick,Drama, War,Unknown,8.4,95.0,2023-07-10
Vertigo,1958,128,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,Alfred Hitchcock,Mystery, Romance, Thriller,8.2,94.0,2023-07-10
Flight,2012,138,Nadine Velazquez,Nadine Velazquez,Don Cheadle,John Goodman,Robert Zemeckis,Drama, Thriller,Unknown,7.3,78.0,2023-07-11
The Great Wall,2016,103,Matt Damon,Tian Jing,Willem Dafoe,Unknown,Yimou Zhang,Action, Adventure, Fantasy,5.9,36.0,2023-07-14
Tenet,2020,150,John David Washington,Robert Pattinson,Elizabeth Debicki,Juhan Ulfsak,Christopher Nolan,Action, Sci-Fi, Thriller,7.3,69.63468634686348,2023-07-26
Babylon,2022,189,Brad Pitt,Margot Robbie,Jean Smart,Unknown,Damien Chazelle,Comedy, Drama,Unknown,7.1,100.0,2023-08-03
Supercop,1992,91,Jackie Chan,Michelle Yeoh,Maggie Cheung,Unknown,Stanley Tong,Action, Comedy, Crime,7.0,96.0,2023-08-07
Triple Frontier,2019,125,Ben Affleck,Oscar Isaac,Charlie Hunnam,Unknown,J.C. Chandor,Action, Adventure, Thriller,6.5,70.0,2023-08-25
Black Mass,2015,123,Johnny Depp,Benedict Cumberbatch,Dakota Johnson,Unknown,Scott Cooper,Biography, Crime, Drama,6.8,73.0,2023-08-26
Blow Out,1981,108,John Travolta,Nancy Allen,John Lithgow,Dennis Franz,Brian De Palma,Crime, Drama, Mystery,7.4,83.0,2023-10-23
Miracle on 34th Street,1947,96,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,George Seaton,Comedy, Drama, Family,7.9,96.0,2023-12-18
The Boys in the Boat,2023,123,Joel Edgerton,Callum Turner,Peter Guinness,Unknown,George Clooney,Biography, Drama, Sport,7.0,69.63468634686348,2023-12-19
Bad Santa,2003,92,Billy Bob Thornton,Bernie Mac,Lauren Graham,Unknown,Terry Zwigoff,Comedy, Crime, Drama,7.0,79.0,2023-12-22
Manchester by the Sea,2016,137,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,Kenneth Lonergan,Drama,Unknown,Unknown,7.8,96.0,2023-12-23
The Mummy,2017,110,Tom Cruise,Sofia Boutella,Annabelle Wallis,Unknown,Alex Kurtzman,Action, Adventure, Fantasy,5.4,16.0,2024-01-17
What About Bob?,1991,99,Bill Murray,Richard Dreyfuss,Julie Hagerty,Unknown,Frank Oz,Comedy,Unknown,Unknown,7.0,84.0,2024-01-24
Training Day,2001,122,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Antoine Fuqua,Crime, Drama, Thriller,7.8,73.0,2024-01-26
Act of Valor,2012,110,Alex Veadov,Roselyn Sanchez,Nestor Serrano,Unknown,Mike McCoy,Action, Adventure, Thriller,6.4,27.0,2024-02-03
Tears of the Sun,2003,121,Bruce Willis,Cole Hauser,Monica Bellucci,Unknown,Antoine Fuqua,Action, Drama, Thriller,6.6,33.0,2024-02-03
G.I. Jane,1997,125,Demi Moore,Viggo Mortensen,Anne Bancroft,Unknown,Ridley Scott,Action, Drama, War,6.0,51.0,2024-02-03
The Abyss,1989,140,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Leo Burmester,James Cameron,Adventure, Drama, Mystery,7.5,69.63468634686348,2024-02-03
